,Name,Description,Categories,Lokasi
0,Kawah Ijen,"Kawah Ijen terkenal dengan fenomena ""blue fire""-nya yang langka dan danau asam berwarna toska yang menakjubkan. Pendakian malam menjadi favorit bagi para petualang. Terletak di perbatasan Banyuwangi dan Bondowoso, kawasan ini juga menyuguhkan pemandangan matahari terbit yang memesona dari puncak gunung. Selain itu, pengunjung dapat menyaksikan aktivitas para penambang belerang tradisional yang menjadi bagian dari kehidupan sehari-hari di kawah ini. Suhu yang dingin dan udara pegunungan yang segar menambah kesan magis saat menyusuri jalur pendakian.",Alam,Banyuwangi
1,Jatim Park 2,"Taman hiburan edukatif yang menggabungkan kebun binatang modern dan museum satwa. Sangat cocok untuk wisata keluarga dan edukasi anak. Berlokasi di Kota Batu, tempat ini terdiri dari tiga zona utama: Batu Secret Zoo, Museum Satwa, dan Eco Green Park. Pengunjung dapat berinteraksi langsung dengan berbagai jenis hewan serta menikmati wahana bertema lingkungan dan konservasi. Dengan fasilitas yang lengkap dan area yang tertata rapi, Jatim Park 2 menjadi destinasi favorit yang menggabungkan hiburan, ilmu pengetahuan, dan pelestarian alam.",Taman Hiburan,Kota Batu
2,Taman Nasional Baluran,"Dijuluki ""Africa van Java"", taman nasional ini menyajikan padang savana luas, hutan, dan keanekaragaman hayati yang kaya. Cocok untuk wisata alam dan fotografi. Terletak di Kabupaten Situbondo, kawasan ini merupakan rumah bagi berbagai satwa liar seperti banteng, rusa, merak, dan monyet ekor panjang. Savana Bekol yang ikonik menjadi spot favorit untuk menyaksikan matahari terbit dan aktivitas hewan liar di habitat aslinya. Selain itu, terdapat pantai Bama yang tenang dan alami, cocok untuk bersantai atau menikmati pemandangan laut. Kombinasi ekosistem darat dan pesisir menjadikan Baluran sebagai destinasi ekowisata yang unik di Jawa Timur.",Alam,Situbondo
3,Pantai Tiga Warna,"Pantai yang unik dengan gradasi tiga warna laut yang menakjubkan. Terkenal juga sebagai destinasi snorkeling yang indah dan terjaga kebersihannya. Terletak di kawasan konservasi Sendang Biru, Kabupaten Malang, pantai ini membatasi jumlah pengunjung setiap harinya untuk menjaga kelestarian ekosistem laut dan pesisir. Air laut yang jernih, pasir putih yang lembut, serta terumbu karang yang masih alami menjadikan tempat ini surga bagi pecinta alam dan fotografi bawah air. Pengunjung juga dapat mengikuti kegiatan edukatif tentang pelestarian lingkungan selama kunjungan. Suasana tenang dan alami menjadikan Pantai Tiga Warna pilihan ideal untuk liburan yang menenangkan.",Pantai,Kabupaten Malang
4,Masjid Cheng Hoo,"Masjid megah bergaya arsitektur Tiongkok yang menjadi simbol akulturasi budaya. Sering dikunjungi sebagai destinasi religi dan budaya. Terletak di Kota Surabaya, masjid ini didirikan untuk menghormati Laksamana Cheng Hoo, tokoh muslim Tionghoa yang dikenal sebagai penjelajah dan penyebar perdamaian. Desain bangunannya memadukan elemen khas Tionghoa seperti atap melengkung dan ornamen merah-hijau dengan fungsi utama sebagai tempat ibadah umat Islam. Selain menjadi tempat salat, masjid ini juga menjadi pusat kegiatan sosial dan budaya yang terbuka bagi wisatawan. Keunikan arsitektur dan nilai sejarahnya menjadikan Masjid Cheng Hoo sebagai ikon toleransi dan harmoni antar budaya di Jawa Timur.",Religi,Surabaya
5,Museum Angkut,"Museum transportasi yang menampilkan koleksi kendaraan dari berbagai zaman dan negara. Terdapat juga area tematik seperti Hollywood dan Eropa klasik. Terletak di Kota Batu, museum ini menyajikan lebih dari 300 koleksi kendaraan mulai dari sepeda kuno, mobil klasik, hingga pesawat terbang. Pengunjung dapat menikmati suasana unik di berbagai zona yang didesain menyerupai kota-kota internasional dengan latar belakang yang menarik untuk berfoto. Selain sebagai sarana edukasi sejarah transportasi, Museum Angkut juga menawarkan hiburan interaktif dan pertunjukan yang cocok untuk seluruh keluarga. Tempat ini menjadi destinasi favorit bagi pecinta otomotif dan wisata edukasi.",Museum,Kota Batu
6,Banyuwangi Park,"Banyuwangi Park merupakan tempat wisata yang mengusung tema edukasi dan bermain, yang mampu memberikan pengalaman bagi setiap pengunjung yang datang. Terletak di Kota Banyuwangi, taman ini menghadirkan berbagai wahana interaktif dan atraksi yang menggabungkan unsur budaya lokal dengan teknologi modern. Pengunjung bisa menikmati pertunjukan seni tradisional, belajar tentang keanekaragaman hayati, serta mencoba permainan edukatif yang seru dan mendidik. Dengan suasana yang ramah keluarga dan fasilitas lengkap, Banyuwangi Park menjadi destinasi ideal untuk rekreasi sekaligus menambah wawasan bagi anak-anak dan orang dewasa.",Taman Hiburan,Banyuwangi
7,Pantai Cacalan,"Pantai dengan garis pantai yang asri dan banyak penjual makanan khas lokal di sekitarnya. Tempat ini populer untuk berenang, kano, dan menikmati pemandangan matahari terbenam di selat sekitarnya. Suasana pantai yang santai dan fasilitas yang memadai membuat Pantai Cacalan cocok untuk keluarga dan wisatawan yang ingin melepas penat. Selain itu, aktivitas memancing dan berjalan-jalan di sepanjang pesisir juga menjadi favorit pengunjung. Pantai ini mudah diakses dan menawarkan pengalaman pantai yang tenang jauh dari keramaian.",Pantai,Banyuwangi
8,Taman Blambangan,"Taman kota yang menawarkan berbagai fasilitas seperti lapangan basket, jalur pejalan kaki, serta panggung terbuka untuk pertunjukan seni dan acara budaya. Terletak di pusat Kota Banyuwangi, taman ini menjadi ruang publik favorit warga untuk berolahraga, bersantai, dan menikmati hiburan lokal. Suasana yang asri dengan pepohonan rindang dan area duduk yang nyaman membuat Taman Blambangan cocok sebagai tempat berkumpul keluarga maupun komunitas. Berbagai event seni dan festival budaya rutin digelar di sini, menjadikannya pusat aktivitas sosial dan budaya di kota.",Taman Hiburan,Banyuwangi
9,Jembatan Wisata Pantai Boom,"Pantai Boom tak hanya dikenal dengan keindahan alam baharinya saat pagi dan senja, tetapi juga dari ragam fasilitas dengan bentuk uniknya. Keunikan itu terlihat ketika ada sebuah jembatan lintas atau causeway yang berbentuk spiral. Jembatan ini pun dikenal sebagai Jembatan Pantai Boom. Jembatan ini menjadi ikon wisata yang menarik perhatian pengunjung karena desainnya yang estetis dan spot foto yang instagramable. Selain menikmati pemandangan laut yang luas, pengunjung dapat berjalan santai di atas jembatan sambil menikmati angin laut yang sejuk. Di sekitar Pantai Boom, terdapat berbagai kios makanan dan tempat bersantai yang membuat pengalaman wisata semakin lengkap dan menyenangkan.",Alam,Banyuwangi
10,Batu Secret Zoo,"Tempat wisata dan konservasi satwa modern yang menawarkan pengalaman melihat berbagai jenis binatang dari seluruh dunia dalam habitat yang dirancang menyerupai aslinya. Terletak di Kota Batu, kebun binatang ini dilengkapi dengan fasilitas edukasi interaktif dan area bermain yang ramah keluarga. Pengunjung dapat menikmati koleksi satwa langka, mulai dari mamalia, burung eksotis, hingga reptil, sekaligus belajar tentang upaya pelestarian dan konservasi. Batu Secret Zoo juga menyediakan wahana safari dan pertunjukan hewan yang menarik, menjadikannya destinasi favorit bagi wisatawan yang ingin mengenal dunia satwa dengan cara yang menyenangkan dan mendidik.",Kebun Binatang,Kota Batu
